Fecha,Local,Visit,Local pitcher,Visit pitcher
9270,20210924.0,Diamondbacks,Dodgers,H. Castellanos ,T. Gonsolin 
137,20170430.0,Giants,Padres,T. Blach,C. Richard
1895,20170925.0,Mets,Braves,C. Flexen ,L. Sims 
10336,20220627.0,Angels,White,N. Syndergaard ,L. Giolito
5305,20190622.0,Dodgers,Rockies,H. Ryu,P. Lambert
5468,20190706.0,Mariners,Athletics,M. Gonzales ,C. Bassitt 
8002,20210608.0,Tigers,Mariners,M. Boyd ,M. Gonzales 
2758,20180529.0,Mariners,Rangers,F. Hernandez,A. Bibens-Dirkx
3177,20180703.0,Phillies,Orioles,Z. Eflin ,A. Cobb 
2848,20180606.0,Rangers,Athletics,B. Colon ,D. Mengden 
1198,20170730.0,Mariners,Mets,J. Paxton ,S. Lugo 
5142,20190609.0,Guardians,Yankees,S. Bieber,C. Green
505,20170531.0,Padres,Cubs,L. Perdomo,J. Arrieta
8435,20210717.0,Braves,Rays,M. Fried ,J. Fleming 
340,20170517.0,Angels,White,M. Shoemaker ,M. Gonzalez 
6139,20190904.0,Royals,Tigers,J. Junis ,E. Jackson 
1243,20170803.0,Braves,Dodgers,S. Newcomb ,A. Wood 
550,20170604.0,Tigers,White,J. Verlander,D. Holmberg
10382,20220701.0,Astros,Angels,C. Javier ,M. Lorenzen 
2309,20180425.0,Phillies,Diamondbacks,J. Arrieta ,Z. Greinke 
6447,20200723.0,Nationals,Yankees,M. Scherzer ,G. Cole 
7982,20210606.0,Orioles,Guardians,J. Lopez ,C. Quantrill 
8292,20210702.0,Braves,Marlins,D. Smyly ,P. Lopez 
2911,20180611.0,Cardinals,Padres,J. Flaherty ,J. Lyles 
7426,20210421.0,Athletics,Twins,F. Montas,K. Maeda
7691,20210513.0,Rockies,Reds,C. Gonzalez ,L. Castillo 
1771,20170915.0,Rays,R.Sox,M. Andriese,C. Sale
3535,20180804.0,Dodgers,Astros,K. Maeda ,L. McCullers Jr.
3841,20180830.0,Cardinals,Pirates,J. Gant ,J. Musgrove 
8946,20210828.0,Tigers,Blue,J. Urena,A. Manoah
7565,20210502.0,Twins,Royals,J. Berrios ,B. Keller 
9026,20210904.0,R.Sox,Guardians,T. Houck,E. Morgan
10013,20220531.0,Blue,White,K. Gausman ,L. Giolito 
266,20170511.0,Diamondbacks,Pirates,Z. Greinke ,G. Cole 
6601,20200807.0,Nationals,Orioles,A. Sanchez ,T. Milone 
2289,20180424.0,Reds,Braves,T. Mahle,B. McCarthy
5502,20190713.0,Guardians,Twins,T. Bauer ,J. Odorizzi 
4023,20180914.0,Brewers,Pirates,G. Gonzalez,C. Archer 
4366,20190403.0,Marlins,Mets,T. Richards ,J. deGrom 
2695,20180525.0,Marlins,Nationals,J. Urena,M. Scherzer 
8154,20210620.0,Braves,Cardinals,B. Wilson ,A. Wainwright 
6498,20200727.0,Astros,Mariners,J. James,K. Graveman 
3810,20180827.0,Giants,Diamondbacks,C. Stratton ,P. Corbin 
5051,20190601.0,Rockies,Blue,J. Gray ,M. Stroman 
6270,20190915.0,Royals,Astros,J. Junis ,W. Miley 
10509,20220711.0,Royals,Tigers,B. Keller ,M. Pineda 
3072,20180624.0,Reds,Cubs,S. Romano,M. Montgomery
